timestamp,hash_id,sweep_param,n_sample,master_seed,N,D,lam,gamma,mean_period,std_period,W_prob,W_mu,W_std,sweep,std_phase_noise,dt,fastmath,std_m_noise
2026-05-20 03:59:54,41459b63,std_m_noise,20,42,100,10,0.1,0.0,23.5,0.0,0.2,0.2,0.0,True,0.05,0.1,False,
2026-05-20 05:21:26,11832598,std_phase_noise,10,42,100,10,0.1,0.0,23.5,0.0,0.2,0.2,0.0,True,,0.1,False,0.0
2026-05-20 05:33:12,2a59e5e8,std_phase_noise,10,42,100,10,0.1,0.0,23.5,0.0,0.2,0.2,0.0,True,,0.1,False,0.0
2026-05-20 05:36:29,025170c0,std_phase_noise,10,42,100,10,0.1,0.0,23.5,0.0,0.2,0.2,0.0,True,,0.1,False,0.0
2026-05-20 05:37:00,6fa0f873,std_phase_noise,10,42,100,10,0.1,0.0,23.5,0.0,0.2,0.2,0.0,True,,0.1,False,0.0
2026-05-20 05:45:07,c79de9f1,std_period,10,42,100,10,0.1,0.0,23.5,,0.2,0.2,0.0,True,0.05,0.1,False,0.0
2026-05-20 05:51:46,555f49a7,std_period,10,42,100,10,0.1,0.0,23.5,,0.2,0.2,0.0,True,0.6,0.1,False,0.0
2026-05-20 05:56:12,f4946be2,std_period,10,42,100,10,0.1,0.0,23.5,,0.2,0.2,0.0,True,0.9,0.1,False,0.0
2026-05-20 06:03:40,0ca0239f,std_period,20,42,100,10,0.1,0.0,23.5,,0.2,0.2,0.0,True,0.05,0.1,False,0.0
2026-05-20 06:06:44,18074829,std_period,20,42,100,10,0.1,0.0,23.5,,0.2,0.2,0.0,True,0.05,0.1,False,0.0
2026-05-20 07:03:55,f7297757,W_mu,10,42,100,10,0.1,0.0,23.5,0.0,0.2,,0.0,True,0.05,0.1,False,0.0
2026-05-20 07:09:59,f32850f8,W_std,10,42,100,10,0.1,0.0,23.5,0.0,0.2,0.2,,True,0.05,0.1,False,0.0
2026-05-20 07:13:31,39616f02,W_std,10,42,100,10,0.1,0.0,23.5,0.0,0.2,0.2,,True,0.05,0.1,False,0.0
2026-05-20 07:31:29,ab27cad2,W_std,20,42,100,10,0.1,0.0,23.5,0.0,0.2,0.2,,True,0.05,0.1,False,0.0
2026-05-20 20:18:11,2147025f,std_period,20,42,100,10,0.1,0.0,23.5,,0.2,0.2,0.0,True,0.05,0.1,False,0.0
2026-05-20 20:22:55,b49f8346,std_period,20,42,100,10,0.1,0.0,23.5,,0.2,0.2,0.0,True,0.05,0.1,False,0.0
2026-05-20 20:26:16,e016ba3f,std_period,10,42,100,10,0.1,0.0,23.5,,0.2,0.05,0.0,True,0.05,0.1,False,0.0
